AREA_2,CODE_2,NAME_2,adm0,adm1,adm2,adm3,islands,province,regency,district,residency,government,division,subdivision,nativemen,nativewomen,nativetotal,eurmen,eurwomen,eurtotal,chinesemen,chinesewomen,chinesetotal,othermen,otherwomen,othertotal,totalmen,totalwomen,total
CELEBES EN ONDERHOORIGHEDEN,28,Kendari,"BORNEO, CELEBES, THE LESSER SUNDA ISLANDS AND THE MOLUCCAS",Govern. CELEBES EN ONDERH,Div. BOETON EN LAIWOEI,Kendari,"BORNEO, CELEBES, THE LESSER SUNDA ISLANDS AND THE MOLUCCAS",,,,,Govern. CELEBES EN ONDERH,Div. BOETON EN LAIWOEI,Kendari,45178,44082,89260,14,11,25,298,152,450,52,47,99,45542,44292,89834
CELEBES EN ONDERHOORIGHEDEN,30,Boeton en Toekang Besi eilanden,"BORNEO, CELEBES, THE LESSER SUNDA ISLANDS AND THE MOLUCCAS",Govern. CELEBES EN ONDERH,Div. BOETON EN LAIWOEI,Boeton en Toekang Besi eilanden,"BORNEO, CELEBES, THE LESSER SUNDA ISLANDS AND THE MOLUCCAS",,,,,Govern. CELEBES EN ONDERH,Div. BOETON EN LAIWOEI,Boeton en Toekangbesi eil,102372,119921,222293,84,49,133,155,62,217,13,9,22,102624,120041,222665
CELEBES EN ONDERHOORIGHEDEN,29,Moena,"BORNEO, CELEBES, THE LESSER SUNDA ISLANDS AND THE MOLUCCAS",Govern. CELEBES EN ONDERH,Div. BOETON EN LAIWOEI,Moena,"BORNEO, CELEBES, THE LESSER SUNDA ISLANDS AND THE MOLUCCAS",,,,,Govern. CELEBES EN ONDERH,Div. BOETON EN LAIWOEI,Moena,40170,47516,87686,18,9,27,100,76,176,8,5,13,40296,47606,87902
CELEBES EN ONDERHOORIGHEDEN,13,Wadjo,"BORNEO, CELEBES, THE LESSER SUNDA ISLANDS AND THE MOLUCCAS",Govern. CELEBES EN ONDERH,Div. BONE,Wadjo,"BORNEO, CELEBES, THE LESSER SUNDA ISLANDS AND THE MOLUCCAS",,,,,Govern. CELEBES EN ONDERH,Div. BONE,Wadjo,92372,99697,192069,32,20,52,158,78,236,92,67,159,92654,99862,192516
CELEBES EN ONDERHOORIGHEDEN,11,Bone,"BORNEO, CELEBES, THE LESSER SUNDA ISLANDS AND THE MOLUCCAS",Govern. CELEBES EN ONDERH,Div. BONE,Bone,"BORNEO, CELEBES, THE LESSER SUNDA ISLANDS AND THE MOLUCCAS",,,,,Govern. CELEBES EN ONDERH,Div. BONE,Bone,168296,176616,344912,50,30,80,205,112,317,228,265,493,168779,177023,345802
CELEBES EN ONDERHOORIGHEDEN,12,Soppeng,"BORNEO, CELEBES, THE LESSER SUNDA ISLANDS AND THE MOLUCCAS",Govern. CELEBES EN ONDERH,Div. BONE,Soppeng,"BORNEO, CELEBES, THE LESSER SUNDA ISLANDS AND THE MOLUCCAS",,,,,Govern. CELEBES EN ONDERH,Div. BONE,Soppeng,55265,58077,113342,3,3,6,67,45,112,163,172,335,55498,58297,113795
CELEBES EN ONDERHOORIGHEDEN,7,Bonthain,"BORNEO, CELEBES, THE LESSER SUNDA ISLANDS AND THE MOLUCCAS",Govern. CELEBES EN ONDERH,Div. BONTHAIN,Bonthain,"BORNEO, CELEBES, THE LESSER SUNDA ISLANDS AND THE MOLUCCAS",,,,,Govern. CELEBES EN ONDERH,Div. BONTHAIN,Bonthain,32019,32300,64319,41,49,90,194,176,370,13,11,24,32267,32536,64803
CELEBES EN ONDERHOORIGHEDEN,8,Boeloekoemba,"BORNEO, CELEBES, THE LESSER SUNDA ISLANDS AND THE MOLUCCAS",Govern. CELEBES EN ONDERH,Div. BONTHAIN,Boeloekoemba,"BORNEO, CELEBES, THE LESSER SUNDA ISLANDS AND THE MOLUCCAS",,,,,Govern. CELEBES EN ONDERH,Div. BONTHAIN,Boeloekoemba,56542,58064,114606,28,16,44,85,60,145,21,16,37,56676,58156,114832
CELEBES EN ONDERHOORIGHEDEN,9,Sindjai,"BORNEO, CELEBES, THE LESSER SUNDA ISLANDS AND THE MOLUCCAS",Govern. CELEBES EN ONDERH,Div. BONTHAIN,Sindjai,"BORNEO, CELEBES, THE LESSER SUNDA ISLANDS AND THE MOLUCCAS",,,,,Govern. CELEBES EN ONDERH,Div. BONTHAIN,Sindjai,46937,49835,96772,6,5,11,97,49,146,67,40,107,47107,49929,97036
CELEBES EN ONDERHOORIGHEDEN,10,Saleier,"BORNEO, CELEBES, THE LESSER SUNDA ISLANDS AND THE MOLUCCAS",Govern. CELEBES EN ONDERH,Div. BONTHAIN,Saleier,"BORNEO, CELEBES, THE LESSER SUNDA ISLANDS AND THE MOLUCCAS",,,,,Govern. CELEBES EN ONDERH,Div. BONTHAIN,Saleier,37047,39060,76107,4,1,5,258,124,382,4,3,7,37313,39188,76501
